country,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
United Arab Emirates,0.0,0.0,0.0
Brunei,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0
Vanuatu,0.0,0.0,0.0
Botswana,0.0,0.0,100.0
French Guiana,0.0,0.0,0.0
Greenland,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
Ecuador,0.0,0.0,100.0
Panama,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0
Oman,0.0,0.0,100.0
Cyprus,0.0,0.0,100.0
Nicaragua,0.0,0.0,0.0
Solomon Is.,0.0,0.0,0.0
Gabon,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0
Falkland Is.,0.0,0.0,0.0
Fiji,0.0,0.0,0.0
St. Lucia,0.0,0.0,0.0
Suriname,0.0,0.0,0.0
Swaziland,0.0,0.0,100.0
Papua New Guinea,0.0,0.0,0.0
Qatar,0.0,0.0,0.0
