country,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Albania,200.0,100.0,300.0
Niger,200.0,100.0,300.0
Laos,200.0,100.0,400.0
Mali,200.0,100.0,300.0
Zimbabwe,200.0,100.0,300.0
Colombia,200.0,100.0,400.0
Burkina Faso,200.0,100.0,400.0
Cuba,200.0,100.0,300.0
Guinea,200.0,100.0,300.0
Haiti,200.0,100.0,300.0
Cote d'Ivory,200.0,100.0,300.0
Cameroon,200.0,100.0,300.0
Burundi,200.0,100.0,300.0
Angola,200.0,100.0,300.0
El Salvador,100.0,0.0,100.0
Senegal,100.0,100.0,200.0
Sierra Leone,100.0,0.0,100.0
Nicaragua,100.0,0.0,100.0
Bolivia,100.0,0.0,100.0
Estonia,100.0,0.0,100.0
Togo,100.0,100.0,200.0
Eritrea,100.0,0.0,200.0
Ecuador,100.0,0.0,100.0
Benin,100.0,100.0,200.0
Switzerland,100.0,100.0,200.0
Paraguay,100.0,0.0,100.0
Peru,100.0,0.0,100.0
Sweden,100.0,100.0,200.0
Slovenia,100.0,100.0,200.0
Finland,100.0,0.0,100.0
Armenia,100.0,100.0,200.0
Latvia,100.0,100.0,200.0
Jamaica,100.0,0.0,100.0
Lesotho,100.0,0.0,100.0
Libya,100.0,0.0,100.0
Argentina,100.0,0.0,100.0
Chad,100.0,100.0,200.0
Ireland,100.0,0.0,100.0
Honduras,100.0,100.0,100.0
Central African Republic,100.0,100.0,200.0
Venezuela,100.0,0.0,100.0
Australia,100.0,0.0,100.0
Mongolia,100.0,0.0,100.0
Guatemala,100.0,100.0,200.0
Somalia,100.0,0.0,200.0
Dominican Republic,100.0,100.0,200.0
Suriname,0.0,0.0,0.0
Swaziland,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0
The Bahamas,0.0,0.0,0.0
Timor Leste,0.0,0.0,0.0
Brunei,0.0,0.0,0.0
St. Lucia,0.0,0.0,0.0
Bhutan,0.0,0.0,100.0
United Arab Emirates,0.0,0.0,100.0
Belize,0.0,0.0,0.0
Belgium,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0
Vanuatu,0.0,0.0,0.0
Western Sahara,0.0,0.0,0.0
Botswana,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0
Chile,0.0,0.0,100.0
Congo,0.0,0.0,100.0
Liberia,0.0,0.0,100.0
Israel,0.0,0.0,100.0
Luxembourg,0.0,0.0,0.0
Iceland,0.0,0.0,0.0
Guyana,0.0,0.0,0.0
Mauritania,0.0,0.0,100.0
Guinea-Bissau,0.0,0.0,0.0
Greenland,0.0,0.0,0.0
Gabon,0.0,0.0,0.0
Namibia,0.0,0.0,100.0
French Guiana,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
Fiji,0.0,0.0,0.0
Falkland Is.,0.0,0.0,0.0
Norway,0.0,0.0,100.0
Oman,0.0,0.0,0.0
Panama,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0
Qatar,0.0,0.0,0.0
Jordan,0.0,0.0,100.0
Denmark,0.0,0.0,100.0
Cyprus,0.0,0.0,0.0
Solomon Is.,0.0,0.0,0.0
Costa Rica,0.0,0.0,100.0
Lebanon,0.0,0.0,100.0
