country,cvd_25_omr_urban_est,cvd_25_omr_rural_est,cvd_25_omr_total_est
Afghanistan,12.6,20.7,19.4
Albania,5.6,9.6,8.0
Algeria,3.7,8.3,5.6
Angola,1.4,4.3,3.3
Argentina,0.0,4.7,0.5
Armenia,5.4,12.4,8.5
Australia,0.0,4.3,0.7
Austria,11.3,24.9,16.5
Azerbaijan,5.6,12.1,9.4
Bangladesh,0.8,5.1,4.2
Belarus,5.4,19.0,9.6
Belgium,8.4,16.4,8.7
Belize,0.2,3.1,2.0
Benin,2.6,4.8,4.2
Bhutan,1.4,3.4,3.2
Bolivia,0.0,2.0,0.8
Bosnia & Herzegovina,6.5,12.3,10.1
Botswana,0.6,4.3,2.5
Brazil,0.4,2.3,0.8
Brunei,0.0,3.2,1.3
Bulgaria,15.5,32.5,21.4
Burkina Faso,0.0,3.1,2.7
Burundi,0.6,5.8,5.5
Cambodia,0.0,3.7,3.1
Cameroon,0.5,3.7,2.3
Canada,4.7,8.5,5.7
Central African Republic,4.7,7.9,7.1
Chad,0.7,4.3,3.6
Chile,0.4,2.1,0.7
China,4.7,8.3,7.0
Colombia,0.0,2.2,0.8
Congo,0.9,5.6,3.4
"Congo, DRC",1.1,4.8,3.8
Costa Rica,0.0,1.9,0.9
Cote d'Ivory,0.2,2.6,1.6
Croatia,14.7,25.6,20.4
Cuba,2.5,7.6,4.1
Cyprus,5.9,12.5,8.5
Czech Republic,12.7,32.5,19.6
Denmark,5.5,19.6,8.0
Djibouti,0.0,1.4,0.5
Dominican Republic,0.0,2.4,1.0
Ecuador,0.0,0.8,0.3
Egypt,4.5,10.1,8.2
El Salvador,0.0,2.8,1.3
Equatorial Guinea,0.0,5.2,3.8
Eritrea,0.0,3.2,2.8
Estonia,1.9,22.8,9.5
Ethiopia,0.2,3.7,3.3
Falkland Is.,0.0,,0.0
Fiji,0.0,0.8,0.5
Finland,0.4,13.5,3.0
France,5.4,11.9,6.7
French Guiana,0.0,1.3,0.5
Gabon,0.4,4.2,1.2
Georgia,12.0,26.7,20.3
Germany,8.4,23.8,13.4
Ghana,1.2,4.1,3.0
Greece,13.5,21.6,17.5
Greenland,,3.1,3.1
Guatemala,0.3,2.5,1.7
Guinea,0.6,4.7,3.6
Guinea-Bissau,0.0,4.3,3.3
Guyana,0.0,1.2,0.9
Haiti,0.0,6.7,4.2
Honduras,0.1,2.2,1.4
Hungary,17.0,30.4,22.1
Iceland,0.5,4.9,1.2
India,2.9,6.2,5.5
Indonesia,0.0,3.1,2.1
Iran,3.6,6.7,4.8
Iraq,3.3,8.1,5.7
Ireland,0.9,12.0,6.4
Israel,6.5,10.5,6.9
Italy,12.6,20.2,15.5
Jamaica,0.0,4.4,2.7
Japan,6.2,9.2,7.4
Jordan,3.3,5.2,4.0
Kazakhstan,5.9,13.9,10.1
Kenya,0.1,2.2,1.8
Kuwait,1.4,3.4,1.7
Kyrgyzstan,7.1,16.4,13.8
Laos,2.6,6.6,5.7
Latvia,2.5,24.1,10.7
Lebanon,6.1,10.6,6.8
Lesotho,0.9,5.5,4.5
Liberia,0.1,4.6,3.7
Libya,1.6,4.4,2.5
Lithuania,4.8,19.5,10.5
Luxembourg,10.3,20.3,13.1
Macedonia,10.1,21.4,16.0
Madagascar,0.0,3.2,2.6
Malawi,0.0,3.0,2.4
Malaysia,0.1,4.1,1.5
Mali,0.0,3.6,2.8
Mauritania,0.1,4.2,2.9
Mexico,2.2,2.9,2.4
Moldova,9.4,18.0,14.6
Mongolia,2.9,9.4,6.0
Morocco,3.5,8.4,6.0
Mozambique,0.0,3.0,2.2
Myanmar,1.2,8.2,6.3
Namibia,0.8,5.8,4.4
Nepal,3.6,5.8,5.5
Netherlands,5.4,12.1,6.9
New Caledonia,0.0,0.5,0.3
New Zealand,0.0,2.6,0.5
Nicaragua,0.0,1.2,0.6
Niger,0.0,2.6,2.4
Nigeria,1.9,4.6,3.6
North Korea,5.4,10.0,7.6
Norway,3.3,12.0,5.9
Oman,3.2,6.8,4.6
Pakistan,4.2,7.4,6.5
Panama,0.0,2.0,0.7
Papua New Guinea,0.0,0.0,0.0
Paraguay,0.0,3.0,1.6
Peru,0.0,0.8,0.2
Philippines,0.0,1.5,0.9
Poland,7.2,18.7,12.8
Portugal,4.0,16.2,10.2
Puerto Rico,0.0,2.1,0.1
Qatar,2.7,4.0,3.0
Romania,12.2,25.1,18.9
Russia,3.8,19.0,9.0
Rwanda,0.4,5.5,4.8
Saudi Arabia,2.6,5.1,3.3
Senegal,0.0,2.4,1.6
Serbia & Montenegro,9.8,22.2,16.2
Sierra Leone,0.3,4.4,3.2
Slovakia,10.2,23.5,17.5
Slovenia,11.9,21.0,16.9
Solomon Is.,0.0,0.0,0.0
Somalia,0.0,2.3,1.6
South Africa,0.7,3.8,2.2
South Korea,5.4,10.2,6.5
Spain,4.7,12.8,7.1
Sri Lanka,0.0,4.7,4.2
St. Lucia,0.0,3.6,2.8
Sudan,0.3,8.7,6.2
Suriname,0.0,0.5,0.2
Swaziland,0.0,3.7,3.1
Sweden,3.7,16.1,6.3
Switzerland,10.3,19.5,13.5
Syria,4.5,7.5,6.1
Tajikistan,6.2,11.3,10.2
Tanzania,0.0,2.8,2.4
Thailand,0.1,3.4,2.6
The Bahamas,1.4,4.9,2.3
Timor Leste,0.0,1.9,1.6
Togo,1.5,3.5,2.9
Tunisia,2.5,7.6,4.5
Turkey,4.3,8.4,5.8
Turkmenistan,5.0,11.0,8.7
Uganda,0.0,2.8,2.4
Ukraine,12.1,27.1,17.6
United Arab Emirates,1.4,3.1,2.4
United Kingdom,4.9,18.9,9.0
United States,12.5,17.0,13.6
Uruguay,0.0,7.2,0.7
Uzbekistan,6.4,11.9,10.4
Vanuatu,0.0,0.0,0.0
Venezuela,0.0,2.2,0.3
Vietnam,0.5,5.1,4.1
Western Sahara,0.8,3.5,3.5
Yemen,0.0,5.9,4.6
Zambia,1.2,3.9,3.2
Zimbabwe,0.1,3.2,2.2
